ServiceName,Suburb,Postcode,NumberOfApprovedPlaces,OverallRating
The Learning Sanctuary Glen Iris,GLEN IRIS,3146,80,Meeting NQS
NurtureOne Wangaratta Children’s Centre,WANGARATTA,3677,78,Meeting NQS
Children's House of Early Learning,MOUNT EVELYN,3796,78,Meeting NQS
Melbourne Juniors,PRESTON,3072,105,Working Towards NQS
Creative Garden Early Learning Wallan,WALLAN,3756,120,Working Towards NQS
Kangaroo Ground Preschool Inc,KANGAROO GROUND,3097,54,Exceeding NQS
Guardian Childcare & Education Elsternwick,ELSTERNWICK,3185,112,Exceeding NQS
Bridgewater Kindergarten,BERWICK,3806,136,Exceeding NQS
Tarneit Kindergarten,TARNEIT,3029,74,Exceeding NQS
Hope Early Learning Centre,FRANKSTON,3199,85,Meeting NQS
Kids Resort Early Learning Centre,SANCTUARY LAKES,3030,136,Meeting NQS
Malin Friends Nursery and Kindergarten,KEW,3101,109,Exceeding NQS
Caroline Springs Childcare and Kindergarten,CAROLINE SPRINGS,3023,124,Meeting NQS
Kids on Gallaghers Child Care Centre,GLEN WAVERLEY,3150,69,Meeting NQS
Community Kids Meadow Heights Early Education Centre,MEADOW HEIGHTS,3048,140,Working Towards NQS
Minnows Beaumaris,BEAUMARIS,3193,40,Meeting NQS
Churchill Central Preschool,CHURCHILL,3842,30,Meeting NQS
Guardian Childcare & Education Ascot Vale,ASCOT VALE,3032,110,Meeting NQS
Chesterville Road Early Learning & Kinder,BENTLEIGH EAST,3165,81,Working Towards NQS
Kids on Tulip,SANDRINGHAM,3191,120,Meeting NQS
Kealba Kindergarten,KEALBA,3021,30,Exceeding NQS
Pelican Childcare Coburg,COBURG,3058,92,Meeting NQS
Little Sunshine Early Learning,NUNAWADING,3131,38,Working Towards NQS
Little Dreamers Early Learning Centre,DANDENONG,3175,49,Meeting NQS
Silkwood Stars Childcare Centre,ROWVILLE,3178,50,Meeting NQS
Military Road Early Learning & Kinder,AVONDALE HEIGHTS,3034,90,Working Towards NQS
Cuddly Bear Child Care Heathmont,HEATHMONT EAST,3135,80,Exceeding NQS
Jigsaw Child Care,SUNSHINE,3020,159,Meeting NQS
Community Kids Heathmont Early Education Centre,HEATHMONT EAST,3135,90,Exceeding NQS
First Steps Child Care Centre,WHITTINGTON,3219,90,Meeting NQS
Story House Early Learning Bundoora,BUNDOORA,3083,130,Exceeding NQS
Noble Park Early Learning Centre,NOBLE PARK,3174,46,Meeting NQS
Bambou Early Learning Centre,GLEN WAVERLEY,3150,79,Exceeding NQS
Taylors Hill Kindergarten,TAYLORS HILL,3037,66,Meeting NQS
Huntingtower Early Learning Centre,MOUNT WAVERLEY,3149,25,Exceeding NQS
Kaniva Kindergarten,KANIVA,3419,64,Working Towards NQS
Great Beginnings Boronia,BORONIA,3155,120,Working Towards NQS
Casa Bambini - Blackburn,BLACKBURN,3130,110,Exceeding NQS
Milestones Early Learning Cranbourne East,CRANBOURNE,3977,134,Meeting NQS
Point Cook Community Learning Centre Kindergarten,POINT COOK,3030,66,Exceeding NQS
Jenny's Kindergarten Maiden Gully,MAIDEN GULLY,3551,87,Meeting NQS
Kardinia Childcare and Kindergarten,BELL POST HILL,3215,305,Exceeding NQS
Fintona Early Learning Centre,BALWYN,3103,98,Exceeding NQS
Guardian Childcare & Education Mentone West,MENTONE,3194,115,Meeting NQS
Ryan Road Childcare,PAKENHAM,3810,168,Meeting NQS
Cowes Children's Centre,COWES,3922,70,Meeting NQS
Casa Bambini Children's Centre - Essendon,ESSENDON,3040,90,Exceeding NQS
Manchester Road Early Learning Centre,MOOROOLBARK,3138,90,Meeting NQS
Pelican Childcare Deer Park,DEER PARK,3023,90,Meeting NQS
Excellent Education & Care ELC,BENTLEIGH EAST,3165,33,Meeting NQS
Merinda Park Kindergarten,CRANBOURNE,3977,30,Exceeding NQS
Starfish Early Learning Centre,BLACKBURN SOUTH,3130,89,Exceeding NQS
Pebble Patch ELC,CRANBOURNE,3977,75,Meeting NQS
Milestones Early Learning Point Cook,POINT COOK,3030,90,Meeting NQS
Gloryland Childcare & Kindergarten,DONCASTER EAST,3109,70,Meeting NQS
Napier Street Children's Centre,WHITE HILLS,3550,120,Exceeding NQS
Hillcrest Early Learning Centre,CLYDE,3978,60,Meeting NQS
Kids Own Early Childhood Learning Centre,CROYDON,3136,50,Exceeding NQS
Royal Women's Hospital Child Care Centre,PARKVILLE,3052,25,Meeting NQS
Wangaratta Children's Services Centre,WANGARATTA,3677,126,Meeting NQS
Gladstone Parade Early Learning & Kinder,GLENROY,3046,75,Meeting NQS
Yuille Park Children's Centre,WENDOUREE WEST,3355,49,Exceeding NQS
Burwood Heights Primary School,BURWOOD EAST,3151,66,Meeting NQS
Bj's Early Learning Centre,BAIRNSDALE,3875,41,Meeting NQS
Somerville Childcare and Kindergarten,SOMERVILLE,3912,80,Meeting NQS
ElliNiki Early Learning Centre,BEAUMARIS,3193,26,Exceeding NQS
Hillside Cottage Early Learning and Kindergarten,HILLSIDE,3037,55,Meeting NQS
Westernport Child Care Centre and Kindergarten Cranbourne,CRANBOURNE,3977,59,Meeting NQS
Country Buddies,YARRAWONGA,3730,119,Meeting NQS
St Paul's Early Learning Centre - Warragul,WARRAGUL,3820,92,Exceeding NQS
Thornbury World of Learning,THORNBURY,3071,75,Working Towards NQS
Grand Oaks Early Learning Centre,LILYDALE,3140,110,Meeting NQS
The Learning Sanctuary Ashwood,ASHWOOD,3147,145,Meeting NQS
Springside Kindergarten,CAROLINE SPRINGS,3023,88,Exceeding NQS
Lady Gowrie Child Centre (Melb) Inc,DOCKLANDS,3008,150,Exceeding NQS
Great Beginnings Reservoir,RESERVOIR,3073,120,Meeting NQS
Bridge Road Early Learning Centre,RICHMOND,3121,60,Exceeding NQS
Geelong World of Learning,HERNE HILL,3218,116,Meeting NQS
Aurora Early Education Rowville,ROWVILLE,3178,65,Exceeding NQS
Pelican Childcare Mount Martha,MOUNT MARTHA,3934,124,Working Towards NQS
Red Apple Early Learning Centre,VERMONT,3133,48,Meeting NQS
Sandringham Private Kindergarten,HIGHETT,3190,35,Exceeding NQS
Beis Menachem Community Centre Inc,BENTLEIGH EAST,3165,113,Meeting NQS
Papilio Early Learning Blackburn,BLACKBURN,3130,54,Meeting NQS
Community Children - Essendon,ESSENDON,3040,93,Exceeding NQS
Guardian Childcare & Education Maidstone,MAIDSTONE,3012,160,Exceeding NQS
Bonkers Beat Music Kinder & Childcare Aspendale,ASPENDALE,3195,51,Excellent
Ferntree Gully Children's Centre,FERNTREE GULLY,3156,90,Meeting NQS
Nido Early School Rowville,ROWVILLE,3178,65,Meeting NQS
Penguin Childcare Epping,EPPING,3076,75,Working Towards NQS
Forever Friends Sunbury,SUNBURY,3429,91,Exceeding NQS
Maroondah Kids Early Learning Centre,CROYDON,3136,55,Meeting NQS
Balaclava Road Child Care Centre,SHEPPARTON,3630,63,Meeting NQS
Goodstart Early Learning Keilor Village,KEILOR,3036,70,Meeting NQS
Goodstart Early Learning Eumemmerring,EUMEMMERRING,3177,90,Meeting NQS
Bell Street Early Learning & Kinder,PRESTON,3072,61,Meeting NQS
Nido Early School Waurn Ponds,BELMONT,3216,87,Meeting NQS
Dalmor Avenue Early Learning & Kinder,ORMOND,3204,60,Meeting NQS
First Grammar Gumnut Drive,LANGWARRIN,3910,63,Meeting NQS
North Gateway World of Learning,LANGWARRIN,3910,51,Meeting NQS
Goodstart Early Learning Boronia Albert Avenue,BORONIA,3155,85,Meeting NQS
Settlement Road Early Learning & Kinder,TRAFALGAR,3824,92,Exceeding NQS
Snuggles Early Learning Centre,GLEN WAVERLEY,3150,62,Exceeding NQS
Victoria Street Early Learning & Kinder,PRESTON,3072,60,Meeting NQS
Guardian Childcare & Education Mt Eliza,MOUNT ELIZA,3930,105,Exceeding NQS
Nido  Early School Moorabbin Airport,MOORABBIN,3194,66,Exceeding NQS
Wallaroo Community Centre,HASTINGS,3915,57,Exceeding NQS
Brown Street Children's Centre,LEONGATHA,3953,120,Working Towards NQS
Chirnside Park Preschool,CHIRNSIDE PARK,3116,29,Exceeding NQS
Fernhill Preschool,MOUNT EVELYN,3796,30,Exceeding NQS
Hansen Park Preschool,KILSYTH,3137,29,Exceeding NQS
Paradise Kids Children's Centre,SOUTH MORANG,3752,108,Meeting NQS
Bright Horizons Australia Childcare Elsternwick,ELSTERNWICK,3185,50,Exceeding NQS
Little Stars Child Care & Kindergarten,ENDEAVOUR HILLS,3802,60,Meeting NQS
Bright Horizons Australia Childcare Croydon North,CROYDON HILLS,3136,75,Meeting NQS
First Grammar Wantirna South,WANTIRNA SOUTH,3152,67,Meeting NQS
Showgrounds Children's Centre,FLEMINGTON,3031,163,Meeting NQS
Rose Garden Childcare Endeavour Hills,ENDEAVOUR HILLS,3802,100,Meeting NQS
Bluebird Preschool Education Cobram,COBRAM,3644,39,Meeting NQS
My Stars Berwick,BERWICK,3806,79,Working Towards NQS
Ararat North Kinder Care,ARARAT,3377,60,Meeting NQS
Developmental Learning Centre Rainbow - Moorabbin,MOORABBIN,3189,86,Meeting NQS
Pelican Childcare Fairways,CRAIGIEBURN,3064,70,Exceeding NQS
Great Beginnings Berwick,BERWICK,3806,95,Exceeding NQS
Bright Horizons Australia Childcare Wodonga,WODONGA,3690,73,Meeting NQS
Romsey Kindergarten,ROMSEY,3434,64,Meeting NQS
Moorefield Park Child Care Centre,WODONGA,3690,169,Meeting NQS
Smiling Children Early Learning Centre,YARRAMBAT,3091,120,Meeting NQS
Bambino's Kindergarten Cranbourne West,CRANBOURNE WEST,3977,120,Meeting NQS
Strathmerton Preschool,STRATHMERTON,3641,19,Working Towards NQS
Kidz R Kidz Early Learning Centre,CRANBOURNE,3977,47,Meeting NQS
Amberly Park World of Learning,NARRE WARREN,3805,58,Meeting NQS
Brookfield Children's Centre,MELTON SOUTH,3338,73,Meeting NQS
Boutique Bubs Early Education & Kindergarten,HAMPTON,3188,62,Meeting NQS
Bluebird Early Education Cranbourne,CRANBOURNE,3977,50,Meeting NQS
Bella Bambini Pre-School and Daycare - St Albans,ST ALBANS,3021,31,Meeting NQS
Avonsleigh Kindergarten,AVONSLEIGH,3782,28,Exceeding NQS
Sparrow Early Learning Alamanda,POINT COOK,3030,122,Meeting NQS
Sutherlands Child Care & Kindergarten,DIAMOND CREEK,3089,90,Working Towards NQS
East Ivanhoe Preschool,IVANHOE EAST,3079,25,Exceeding NQS
Shooting Stars Early Learning for Life,CRANBOURNE NORTH,3977,44,Meeting NQS
Glen Gala Children's Centre,SUNSHINE WEST,3020,93,Exceeding NQS
Community Kids Mornington Early Education Centre,MORNINGTON,3931,67,Meeting NQS
Brunswick Kindergarten,BRUNSWICK,3056,60,Working Towards NQS
Walker Street Community Kindergarten,CLIFTON HILL,3068,25,Exceeding NQS
Community Kids Cranbourne,CRANBOURNE,3977,120,Exceeding NQS
Piccolo's Accelerated Early Learning,FRANKSTON SOUTH,3199,108,Meeting NQS
Kiddy Palace Learning Centre,EPPING,3076,45,Working Towards NQS
City Kindergarten,WARRNAMBOOL,3280,90,Exceeding NQS
Mel's Angels,HALLAM,3803,43,Meeting NQS
Penguin Childcare Caroline Springs,CAROLINE SPRINGS,3023,98,Meeting NQS
Mildura Early Learning Centre,MILDURA,3500,127,Meeting NQS
Mildura Central Early Learning Centre,MILDURA,3500,78,Exceeding NQS
East Malvern Early Learning Centre,MALVERN EAST,3145,50,Exceeding NQS
Community Kids Shepparton Early Education Centre,SHEPPARTON,3630,114,Meeting NQS
Community Kids Narre Warren Early Education Centre,NARRE WARREN SOUTH,3805,114,Exceeding NQS
North West Brunswick Kindergarten,BRUNSWICK WEST,3055,50,Exceeding NQS
Montague Park Preschool,FRANKSTON,3199,29,Exceeding NQS
Crib Point Preschool,HMAS CERBERUS,3920,30,Meeting NQS
Springvale 1 World of Learning,SPRINGVALE,3171,60,Meeting NQS
Pakenham Heights Kindergarten,PAKENHAM,3810,30,Meeting NQS
Little Stars at Bourke Children's Centre,MELBOURNE,3000,68,Exceeding NQS
McLeans Road Kindergarten,BUNDOORA,3083,30,Meeting NQS
Karingal PLACE Kindergarten,FRANKSTON,3199,86,Meeting NQS
Team Holiday - Mornington Bentons Square,MORNINGTON,3931,48,Meeting NQS
Fairy Hills Kindergarten,IVANHOE,3079,45,Exceeding NQS
St Faith's Child Care and Early Learning Centre,MONTMORENCY,3094,80,Exceeding NQS
Creative Kids Early Learning Centre,MORNINGTON,3931,38,Meeting NQS
Quantin Binnah / Corpus Christi PS,WERRIBEE,3030,60,Meeting NQS
Dewdrops Early Learning - Brunswick West,BRUNSWICK WEST,3055,45,Meeting NQS
Sparrow Early Learning Drouin,DROUIN,3818,52,Exceeding NQS
Havilah Road Preschool,LONG GULLY,3550,29,Exceeding NQS
Camelot Child Care & Early Learning Centre,RICHMOND,3121,40,Meeting NQS
Only About Children Woori Yallock,WOORI YALLOCK,3139,75,Meeting NQS
Heatherhill Kindergarten,NOBLE PARK,3174,52,Exceeding NQS
Bilbungra Kindergarten,KEYSBOROUGH,3173,29,Exceeding NQS
Keysborough Kindergarten,KEYSBOROUGH,3173,33,Meeting NQS
Corrigan Rex Kindergarten,KEYSBOROUGH,3173,27,Exceeding NQS
St Margaret's Preschool,MILDURA,3500,60,Meeting NQS
Cherish Early Learning Centre,SEBASTOPOL,3356,92,Working Towards NQS
Mernda Villages Kindergarten,MERNDA,3754,124,Exceeding NQS
Essendon Kids,ESSENDON,3040,140,Meeting NQS
Little Learners ELC-Camberwell,CAMBERWELL,3124,70,Meeting NQS
Beaconsfield Children's Hub Panorama Estate,BEACONSFIELD,3807,126,Working Towards NQS
Mt Evelyn Early Learning Centre,MOUNT EVELYN,3796,33,Meeting NQS
Kids Paradise Long Street,LANGWARRIN,3910,60,Meeting NQS
Country Buddies Wahgunyah,WAHGUNYAH,3687,76,Meeting NQS
GEKA Glover Street Kindergarten,BENTLEIGH EAST,3165,30,Exceeding NQS
Guardian Childcare & Education Brunswick,BRUNSWICK,3056,91,Meeting NQS
Little Acorns Childcare,FRANKSTON,3199,91,Meeting NQS
Youth Leadership Victoria - St Thomas More OSHC,BELGRAVE,3160,64,Meeting NQS
Adventurers - Wyndham Vale,WYNDHAM VALE,3024,111,Exceeding NQS
Red Apple Early Learning Centre Balwyn,BALWYN NORTH,3104,77,Meeting NQS
Headstart Early Learning Centre Geelong,GEELONG WEST,3218,136,Meeting NQS
Eco Kids Child Care Centre,HAMPTON PARK,3976,100,Exceeding NQS
St Mary's PS OSHC - Extend,EAST MALVERN,3145,104,Meeting NQS
Stepping Stones - Nichols Point OSHC,NICHOLS POINT,3501,45,Meeting NQS
Bulldogs Community Children's Centre,WEST FOOTSCRAY,3012,108,Meeting NQS
Stepping Stones - Mildura Central OSHC,MILDURA,3500,47,Meeting NQS
YMCA Taylors Hill Early Learning Centre & YMCA Taylors Hill Outside School Hours Care,TAYLORS HILL,3037,128,Exceeding NQS
YMCA Point Cook Early Learning Centre & YMCA Point Cook Outside School Hours Care,POINT COOK,3030,202,Meeting NQS
Springvale Service for Children Inc,SPRINGVALE,3171,107,Exceeding NQS
Traralgon Early Learning Centre,TRARALGON,3844,120,Exceeding NQS
Carlisle Child Care Club,CRANBOURNE,3977,230,Exceeding NQS
Rose Garden Epping Early Learning Centre,EPPING,3076,120,Meeting NQS
Camp Australia - Sacred Heart Primary School Newport OSHC,NEWPORT,3015,57,Meeting NQS
Community Kids Golden Square Early Education Centre,GOLDEN SQUARE,3555,63,Meeting NQS
Little Champs,BRAYBROOK,3019,90,Exceeding NQS
Buckets Early Learning Centre,HUGHESDALE,3166,97,Exceeding NQS
Heywood Kindergarten,HEYWOOD,3304,37,Exceeding NQS
Nickis Clever Cookies,NORTHCOTE,3070,36,Meeting NQS
Mentone Girls Grammar Early Learning Centre,MENTONE,3194,69,Exceeding NQS
Tiny Treasures Early Learning Centre,BURNSIDE,3023,105,Meeting NQS
Smart Start Early Learning and Development Centre,ALPHINGTON,3078,120,Meeting NQS
Goodstart Early Learning Alfredton,ALFREDTON,3350,95,Meeting NQS
Goodstart Early Learning Rowville - Stud Road,ROWVILLE,3178,140,Meeting NQS
Goodstart Early Learning Riddells Creek,RIDDELLS CREEK,3431,80,Meeting NQS
Goodstart Early Learning Rowville - Liberty Avenue,ROWVILLE,3178,60,Exceeding NQS
Goodstart Early Learning Aspendale Gardens,ASPENDALE GARDENS,3195,120,Meeting NQS
Goodstart Early Learning Altona,ALTONA,3018,60,Meeting NQS
Goodstart Early Learning Rosebud - Boneo Road,ROSEBUD,3939,45,Meeting NQS
Cubby Care Early Learning Centre Bairnsdale,BAIRNSDALE,3875,45,Meeting NQS
Goodstart Early Learning Rosebud - Eastbourne Road,ROSEBUD,3939,81,Meeting NQS
Goodstart Early Learning Roxburgh Park - Sommeville Drive,ROXBURGH PARK,3064,75,Meeting NQS
Goodstart Early Learning Bayswater North,BAYSWATER NORTH,3153,75,Exceeding NQS
Goodstart Early Learning Roxburgh Park - David Munroe Drive,ROXBURGH PARK,3064,120,Working Towards NQS
Goodstart Early Learning Beaumaris,BEAUMARIS,3193,67,Exceeding NQS
Goodstart Early Learning Richmond,RICHMOND,3121,75,Working Towards NQS
Goodstart Early Learning Belgrave Heights,BELGRAVE HEIGHTS,3160,60,Exceeding NQS
Goodstart Early Learning Ringwood,RINGWOOD NORTH,3134,95,Exceeding NQS
Goodstart Early Learning Bendigo - McIvor Road,BENDIGO,3550,139,Meeting NQS
Goodstart Early Learning Reservoir,RESERVOIR,3073,60,Exceeding NQS
Goodstart Early Learning Rowville - Murrindal Drive,ROWVILLE,3178,54,Meeting NQS
Goodstart Early Learning Berwick,BERWICK,3806,100,Meeting NQS
Goodstart Early Learning Rosanna,ROSANNA,3084,100,Working Towards NQS
Goodstart Early Learning Point Cook - Shaftsbury Boulevard,POINT COOK,3030,98,Exceeding NQS
Goodstart Early Learning Point Cook - The Strand,POINT COOK,3030,75,Meeting NQS
Goodstart Early Learning Pascoe Vale - Cumberland Road West,PASCOE VALE,3044,30,Meeting NQS
Goodstart Early Learning Pascoe Vale - Cumberland Road East,PASCOE VALE,3044,70,Exceeding NQS
Goodstart Early Learning Blackburn South,BLACKBURN,3130,60,Meeting NQS
Goodstart Early Learning Narre Warren - Pound Road South,NARRE WARREN SOUTH,3805,90,Meeting NQS
Goodstart Early Learning Braybrook,BRAYBROOK,3019,80,Exceeding NQS
Goodstart Early Learning Preston,PRESTON,3072,99,Meeting NQS
Goodstart Early Learning Boronia,BORONIA,3155,84,Meeting NQS
Goodstart Early Learning Point Cook - Lemongrass Circuit,POINT COOK,3030,90,Exceeding NQS
Goodstart Early Learning Brighton East,BRIGHTON EAST,3187,74,Meeting NQS
Goodstart Early Learning Portland,PORTLAND,3305,90,Meeting NQS
Goodstart Early Learning Brighton - Cochrane Street,BRIGHTON,3186,60,Exceeding NQS
Goodstart Early Learning Bundoora - Bendoran Crescent,BUNDOORA,3083,60,Exceeding NQS
Goodstart Early Learning Lynbrook,LYNBROOK,3975,120,Meeting NQS
Goodstart Early Learning Langwarrin,LANGWARRIN,3910,58,Meeting NQS
Goodstart Early Learning Bundoora - Plenty Road,BUNDOORA,3083,103,Exceeding NQS
Goodstart Early Learning Lara,LARA,3212,122,Meeting NQS
Goodstart Early Learning Bundoora - Karl Court,BUNDOORA,3083,75,Exceeding NQS
Goodstart Early Learning Hughesdale,OAKLEIGH SOUTH,3167,84,Meeting NQS
Goodstart Early Learning Flora Hill,BENDIGO,3550,70,Meeting NQS
Goodstart Early Learning Burnside,BURNSIDE,3023,90,Meeting NQS
Goodstart Early Learning Oakleigh,OAKLEIGH,3166,44,Exceeding NQS
Goodstart Early Learning Box Hill - Whitehorse Road,BOX HILL,3128,82,Meeting NQS
Goodstart Early Learning Narre Warren North,NARRE WARREN NORTH,3804,60,Meeting NQS
Goodstart Early Learning Carnegie,CARNEGIE,3163,47,Meeting NQS
KingKids Early Learning Centre and Kindergarten Narre Warren,NARRE WARREN,3805,120,Exceeding NQS
Goodstart Early Learning Box Hill - Canterbury Road,BOX HILL,3128,133,Exceeding NQS
Goodstart Early Learning Narre Warren - Pound Road North,NARRE WARREN,3805,118,Meeting NQS
Goodstart Early Learning Carrum Downs - Frankston-Dandenong Road,CARRUM DOWNS,3201,95,Meeting NQS
Goodstart Early Learning Noble Park,NOBLE PARK,3174,67,Meeting NQS
Goodstart Early Learning Chelsea Heights,CHELSEA HEIGHTS,3196,60,Exceeding NQS
Goodstart Early Learning Newtown,NEWTOWN,3220,90,Exceeding NQS
Goodstart Early Learning Oakleigh South - Moresby Street,OAKLEIGH SOUTH,3167,60,Exceeding NQS
Goodstart Early Learning Numurkah,NUMURKAH,3636,60,Meeting NQS
Goodstart Early Learning Cheltenham,CHELTENHAM,3192,90,Meeting NQS
Goodstart Early Learning Craigieburn Central,CRAIGIEBURN,3064,75,Exceeding NQS
Goodstart Early Learning Ballarat - Creswick Road,BALLARAT,3350,60,Meeting NQS
Goodstart Early Learning New Gisborne,NEW GISBORNE,3437,112,Meeting NQS
Goodstart Early Learning Clayton,CLAYTON,3168,67,Exceeding NQS
Goodstart Early Learning Chadstone,CHADSTONE,3148,48,Meeting NQS
Goodstart Early Learning Ivanhoe,IVANHOE,3079,40,Meeting NQS
Goodstart Early Learning Croydon South,CROYDON,3136,90,Meeting NQS
Goodstart Early Learning Wantirna South - Cathies Lane,WANTIRNA,3152,67,Meeting NQS
Goodstart Early Learning Croydon,CROYDON,3136,90,Meeting NQS
Goodstart Early Learning Kyneton,KYNETON,3444,73,Meeting NQS
Goodstart Early Learning Clifton Hill,CLIFTON HILL,3068,48,Meeting NQS
Goodstart Early Learning Kangaroo Flat,KANGAROO FLAT,3555,75,Meeting NQS
Goodstart Early Learning Carrum Downs - Arcadia Street,CARRUM DOWNS,3201,56,Exceeding NQS
Goodstart Early Learning Kealba,KEALBA,3021,60,Meeting NQS
Goodstart Early Learning Carrum Downs - Hall Road,CARRUM DOWNS,3201,120,Meeting NQS
Goodstart Early Learning Endeavour Hills - Hanna Drive,ENDEAVOUR HILLS,3802,73,Meeting NQS
Goodstart Early Learning Hoppers Crossing - Deloraine Drive,HOPPERS CROSSING,3029,120,Meeting NQS
Goodstart Early Learning Hoppers Crossing - Barber Drive,HOPPERS CROSSING,3029,120,Meeting NQS
Goodstart Early Learning Hoppers Crossing - Heaths Road,HOPPERS CROSSING,3029,90,Meeting NQS
Goodstart Early Learning Hoppers Crossing - Morris Road,HOPPERS CROSSING,3029,70,Meeting NQS
Goodstart Early Learning Hampton Park - Coral Drive,HAMPTON PARK,3976,90,Exceeding NQS
Goodstart Early Learning Hampton Park - Somerville Road,HAMPTON PARK,3976,50,Meeting NQS
Goodstart Early Learning Horsham,HORSHAM,3400,70,Meeting NQS
Goodstart Early Learning Dandenong - Heatherton Road,DANDENONG,3175,90,Meeting NQS
Goodstart Early Learning Heidelberg,HEIDELBERG,3084,122,Exceeding NQS
Goodstart Early Learning Delacombe,DELACOMBE,3356,145,Exceeding NQS
Goodstart Early Learning Hillside,HILLSIDE,3037,120,Exceeding NQS
